class,idx,top1_acc,top5_acc,samples,top_conf_1,top_conf_1_count,top_confusions
hand_in_hand,204,0.0,16.666666666666668,6,climb_stair,1,"climb_stair(1), stomping_grapes(1), using_metal_detector(1)"
handsaw,205,0.0,16.666666666666668,6,hand-drill_firemaking_drill_with_hand,1,"hand-drill_firemaking_drill_with_hand(1), pouring_wine(1), curling_follow(1)"
handshake_dog,206,0.0,16.666666666666668,6,play_gong,1,"play_gong(1), remove_car_tire(1), bowing_fullbody(1)"
hookah,217,0.0,16.666666666666668,6,playing_snare_drum,2,"playing_snare_drum(2), play_ otamatone(1), sticking tongue out(1)"
ice_scuplting,228,0.0,16.666666666666668,6,push_car,1,"push_car(1), kiss(1), beer_pong_throw(1)"
kick_open_door,239,0.0,16.666666666666668,6,kick_jianzi,2,"kick_jianzi(2), frisbee_throw(1), fist_bump(1)"
play_castanets,266,0.0,16.666666666666668,6,riding_mechanical_bull,1,"riding_mechanical_bull(1), play_bangu(1), play_bagpipes(1)"
play_cornett,269,0.0,16.666666666666668,6,play_trumpet,1,"play_trumpet(1), whistle_two_hands(1), play_leaf-flute(1)"
play_leaf-flute,284,0.0,16.666666666666668,6,whistle_two_hands,1,"whistle_two_hands(1), play_harmonica(1), whistle_one_hand(1)"
play_triangle,302,0.0,16.666666666666668,6,diving_jump,1,"diving_jump(1), play_doublebass(1), peeling_banana(1)"
play_trumpet,304,0.0,16.666666666666668,6,play_melodic,1,"play_melodic(1), play_recorder(1), punching_speedbag(1)"
play_xylophone,308,0.0,16.666666666666668,6,ironing_clothes,2,"ironing_clothes(2), fire_extinguisher(1), headbang(1)"
remove_car_tire,337,0.0,16.666666666666668,6,hand-drill_firemaking_blow,1,"hand-drill_firemaking_blow(1), hand-drill_firemaking_drill_with_hand(1), basketball_jabstep(1)"
roller-skating_backward,347,0.0,16.666666666666668,6,using_metal_detector,2,"using_metal_detector(2), tight-rope_walking(1), moonwalk(1)"
screw_car_tire,357,0.0,16.666666666666668,6,play_grandpiano,1,"play_grandpiano(1), playing_seesaw(1), baseball_catch_groundball(1)"
skateboard_grind,373,0.0,16.666666666666668,6,unicycle_ride,1,"unicycle_ride(1), neck_side_pull_stretch(1), shoveling_snow(1)"
snowboard_slide,390,0.0,16.666666666666668,6,face-changing_opera,1,"face-changing_opera(1), basketball_dribble(1), dog_walking(1)"
spitting_on_face,402,0.0,16.666666666666668,6,using_spinning_wheel,3,"using_spinning_wheel(3), kiss(1), closing_door(1)"
taking_photo_camera,427,0.0,16.666666666666668,6,archery,2,"archery(2), climbing_tree(1), whistle_two_hands(1)"
using_typewriter,462,0.0,16.666666666666668,6,play_serpent,2,"play_serpent(2), playing_bass_drum(1), burping(1)"
walking_on_stilts,467,0.0,16.666666666666668,6,brushing_floor,2,"brushing_floor(2), figure_skate_forward(1), segway(1)"
washing_clothes,472,0.0,16.666666666666668,6,washing_dishes,2,"washing_dishes(2), shoe_shining(1), cutting_onion(1)"
water_skiing,474,0.0,16.666666666666668,6,playing_swing,1,"playing_swing(1), talking_megaphone(1), throwing_bouquet(1)"
yawning,487,0.0,16.666666666666668,6,snow_angel,1,"snow_angel(1), sticking tongue out(1), blowing_gum(1)"
air_drumming,5,0.0,33.333333333333336,6,play_yangqin,1,"play_yangqin(1), canoeing_slalom(1), play_triangle(1)"
air_hocky,7,0.0,33.333333333333336,6,shoe_shining,1,"shoe_shining(1), jetski(1), climb_ladder(1)"
base_jumping,28,0.0,33.333333333333336,6,skydiving,1,"skydiving(1), ski_jump_midair(1), grass_skating(1)"
basketball_hookshot,38,0.0,33.333333333333336,6,basketball_shoot,4,"basketball_shoot(4), riding_mechanical_bull(1), cast_net(1)"
blowdrying_hair,57,0.0,33.333333333333336,6,brushing_hair,2,"brushing_hair(2), play_trombone(1), smoking_exhale(1)"
blowing_balloon,59,0.0,33.333333333333336,6,yoga_tree,1,"yoga_tree(1), hand-drill_firemaking_blow(1), play_harmonica(1)"
bmx_jumping,64,0.0,33.333333333333336,6,swimming_backstroke,1,"swimming_backstroke(1), ride_bike(1), diving_sneak(1)"
chopping_meat,93,0.0,33.333333333333336,6,play_serpent,2,"play_serpent(2), fire_extinguisher(1), knitting(1)"
chopping_wood,94,0.0,33.333333333333336,6,sledgehammer_strike_down,2,"sledgehammer_strike_down(2), brushing_floor(1), kiss(1)"
cleaning_sweeping,97,0.0,33.333333333333336,6,sword_swallowing,1,"sword_swallowing(1), using_scythe(1), brushing_floor(1)"
clear_snow_off_car,100,0.0,33.333333333333336,6,climb_ladder,1,"climb_ladder(1), stomping_grapes(1), building_snowman(1)"
draw_handgun,132,0.0,33.333333333333336,6,closing_door,1,"closing_door(1), shooting_shotgun(1), dabbing(1)"
drinking_with_straw,134,0.0,33.333333333333336,6,using_typewriter,1,"using_typewriter(1), play_ocarina(1), peeling_banana(1)"
equestrian_jump,142,0.0,33.333333333333336,6,calfrope_catch,1,"calfrope_catch(1), forward_roll(1), riding_mechanical_bull(1)"
frisbee_catch,177,0.0,33.333333333333336,6,sling,1,"sling(1), sandboarding_forward(1), runway_walk(1)"
guitar_flip,187,0.0,33.333333333333336,6,squash_backhand,1,"squash_backhand(1), face_slapping(1), dabbing(1)"
heimlich_maneuver,210,0.0,33.333333333333336,6,play_serpent,2,"play_serpent(2), high_five(1), using_metal_detector(1)"
high_five,211,0.0,33.333333333333336,6,pizza_dough_toss,1,"pizza_dough_toss(1), dice_shuffle_reveal(1), dabbing(1)"
hold_baby,215,0.0,33.333333333333336,6,reading_book,1,"reading_book(1), playing_rubiks_cube(1), talking_megaphone(1)"
horizontalbar_jump,222,0.0,33.333333333333336,6,bike_fall,1,"bike_fall(1), horizontalbar_land(1), diving_sneak(1)"
play_guitar,276,0.0,33.333333333333336,6,play_sanxian,2,"play_sanxian(2), folding_clothes(1), play_ukulele(1)"
play_noseflute,288,0.0,33.333333333333336,6,shaving_beard,2,"shaving_beard(2), adjusting_glasses(1), whistle_one_hand(1)"
rolling_snow,349,0.0,33.333333333333336,6,cleaning_sweeping,1,"cleaning_sweeping(1), alligator_wrestling(1), calfrope_subdue(1)"
shoe_shining,363,0.0,33.333333333333336,6,swimming_freestyle,1,"swimming_freestyle(1), hand-drill_firemaking_drill_with_bow(1), decorating_snowman(1)"
spinning_basketball,399,0.0,33.333333333333336,6,spinning_plate,2,"spinning_plate(2), hold_baby_with_wrap(1), play_triangle(1)"
stone_skipping,412,0.0,33.333333333333336,6,squash_forehand,3,"squash_forehand(3), gym_pull(1), hopscotch_skip(1)"
talking_on_phone,430,0.0,33.333333333333336,6,fist_bump,1,"fist_bump(1), sticking tongue out(1), chopping_meat(1)"
archery,11,0.0,50.0,6,slingshot,2,"slingshot(2), carrying_with_head(1), belly_dancing(1)"
atlatl_throw,14,0.0,50.0,6,throw_paper-plane,1,"throw_paper-plane(1), dart_throw(1), diving_sneak(1)"
basketball_dribble,36,0.0,50.0,6,battle-rope_wave,1,"battle-rope_wave(1), jump rope(1), calfrope_subdue(1)"
crawling,110,0.0,50.0,6,pushup,1,"pushup(1), handsaw(1), tire_pull(1)"
dice_shuffle_reveal,122,0.0,50.0,6,play_bangu,2,"play_bangu(2), water_skiing(1), cutting_onion(1)"
equestrian_dressage,141,0.0,50.0,6,ride_horse,2,"ride_horse(2), brushing_floor(1), skydiving(1)"
folding_clothes,171,0.0,50.0,6,ironing_clothes,2,"ironing_clothes(2), hand-drill_firemaking_drill_with_hand(1), chopping_meat(1)"
football_throw,174,0.0,50.0,6,basketball_hookshot,1,"basketball_hookshot(1), chalkboard(1), face_slapping(1)"
ganggangsullae,180,0.0,50.0,6,blowing_leaf,1,"blowing_leaf(1), trapeze_interacting(1), hugging_human(1)"
hopscotch_spin,220,0.0,50.0,6,soccer_dribble,1,"soccer_dribble(1), bowing_waist(1), hand_in_hand(1)"
play_violin,307,0.0,50.0,6,play_viola,2,"play_viola(2), play_panpipe(1), play_clarinet(1)"
reading_book,336,0.0,50.0,6,play_serpent,2,"play_serpent(2), play_lute(1), play_triangle(1)"
shake_cocktail,360,0.0,50.0,6,punching_speedbag,1,"punching_speedbag(1), applauding(1), play_recorder(1)"
snowboard_jump,389,0.0,50.0,6,ski_backflip,1,"ski_backflip(1), unevenbar_land(1), skydiving(1)"
surfing,414,0.0,50.0,6,tight-rope_walking,1,"tight-rope_walking(1), push_wheelchair_alone(1), base_jumping(1)"
swimming_freestyle,418,0.0,50.0,6,bmx_jumping,1,"bmx_jumping(1), swimming_butterfly_stroke(1), figure_skate_hydroblading(1)"
taichi_fan,426,0.0,50.0,6,basketball_jabstep,1,"basketball_jabstep(1), soccer_header(1), underarm_turn(1)"
three_legged_race,435,0.0,50.0,6,play_diabolo,1,"play_diabolo(1), playing_nunchucks(1), dice_stack_shuffle(1)"
tire_sled,441,0.0,50.0,6,push_car,2,"push_car(2), basketball_jabstep(1), equestrian_jump(1)"
tug_of_war,447,0.0,50.0,6,using_lawn_mower_riding_type,2,"using_lawn_mower_riding_type(2), gym_ride(1), play_serpent(1)"
using_spinning_wheel,460,0.0,50.0,6,peeling_banana,1,"peeling_banana(1), play_melodic(1), using_lawn_mower_riding_type(1)"
volleyball_overhand,463,0.0,50.0,6,tennis_serve,2,"tennis_serve(2), face_slapping(1), belly_dancing(1)"
walking_with_crutches,468,0.0,50.0,6,using_metal_detector,3,"using_metal_detector(3), play_cymbals(1), closing_door(1)"
billiard_hit,55,0.0,66.66666666666667,6,air_hocky,2,"air_hocky(2), tight-rope_walking(1), throwing_bouquet(1)"
play_suona,298,0.0,66.66666666666667,6,play_triangle,3,"play_triangle(3), play_recorder(1), peeling_banana(1)"
arm_wrestling,13,16.666666666666668,16.666666666666668,6,taekwondo_high_block,1,"taekwondo_high_block(1), play_saw(1), rowing_boat(1)"
badminton_overswing,18,16.666666666666668,16.666666666666668,6,volleyball_overhand,2,"volleyball_overhand(2), playing_swing(1), shooting_handgun(1)"
basketball_dunk,37,16.666666666666668,16.666666666666668,6,basketball_shoot,1,"basketball_shoot(1), climbing_rope(1), soccer_throw(1)"
bike_fall,54,16.666666666666668,16.666666666666668,6,basketball_jabstep,1,"basketball_jabstep(1), canoeing_slalom(1), bmx_jumping(1)"
building_snowman,77,16.666666666666668,16.666666666666668,6,cast_net,1,"cast_net(1), stomping_grapes(1), shoveling_snow(1)"
cleaning_mopping,96,16.666666666666668,16.666666666666668,6,curling_follow,1,"curling_follow(1), unevenbar_cross(1), cleaning_sweeping(1)"
cleaning_windows,99,16.666666666666668,16.666666666666668,6,brushing_hair,1,"brushing_hair(1), canoeing_slalom(1), washing_dishes(1)"
climb_icecliff,101,16.666666666666668,16.666666666666668,6,horizontalbar_flip,1,"horizontalbar_flip(1), bowing_waist(1), using_lawn_mower_riding_type(1)"
curling_follow,115,16.666666666666668,16.666666666666668,6,brushing_floor,1,"brushing_floor(1), using_metal_detector(1), curling_sweep(1)"
fire_extinguisher,160,16.666666666666668,16.666666666666668,6,ride_horse,1,"ride_horse(1), hammering_nail(1), chainsaw_tree(1)"
kayaking,237,16.666666666666668,16.666666666666668,6,rowing_boat,1,"rowing_boat(1), wall_paint_roller(1), falling_off_chair(1)"
opening_door,252,16.666666666666668,16.666666666666668,6,punching_sandbag,1,"punching_sandbag(1), bowing_waist(1), pancake_flip(1)"
play_sheng,296,16.666666666666668,16.666666666666668,6,play_saxophone,2,"play_saxophone(2), equestrian_jump(1), play_suona(1)"
ride_bike,339,16.666666666666668,16.666666666666668,6,ride_motorcycle,1,"ride_motorcycle(1), baseball_catch_catcher(1), gas_pumping_to_car(1)"
smoking_exhale,385,16.666666666666668,16.666666666666668,6,play_trombone,1,"play_trombone(1), shaking_head(1), smoking_inhale(1)"
soccer_shoot,394,16.666666666666668,16.666666666666668,6,leg_hold_front,1,"leg_hold_front(1), gym_pull(1), using_lawn_mower(1)"
spinning_book,400,16.666666666666668,16.666666666666668,6,spinning_plate,1,"spinning_plate(1), frisbee_throw(1), spinning_basketball(1)"
taking_selfie,428,16.666666666666668,16.666666666666668,6,play_banjo,1,"play_banjo(1), spinning_plate(1), pancake_flip(1)"
washing_dishes,473,16.666666666666668,16.666666666666668,6,cleaning_windows,1,"cleaning_windows(1), play_timpani(1), building_snowman(1)"
windsurfing,484,16.666666666666668,16.666666666666668,6,climbing_rope,1,"climbing_rope(1), balancebeam_flip(1), push_wheelchair(1)"
adjusting_glasses,4,16.666666666666668,33.333333333333336,6,shaking_head,1,"shaking_head(1), blowing kisses(1), whistle_one_hand(1)"
badminton_underswing,20,16.666666666666668,33.333333333333336,6,frisbee_throw,2,"frisbee_throw(2), basketball_jabstep(1), basketball_pass(1)"
balloon_animal,26,16.666666666666668,33.333333333333336,6,play_hulusi,2,"play_hulusi(2), kayaking(1), using_spinning_wheel(1)"
baseball_catch_catcher,30,16.666666666666668,33.333333333333336,6,fist_bump,1,"fist_bump(1), chalkboard(1), card_throw(1)"
brushing_hair,75,16.666666666666668,33.333333333333336,6,petanque_throw,1,"petanque_throw(1), riding_mechanical_bull(1), applying_cream(1)"
burping,79,16.666666666666668,33.333333333333336,6,sticking tongue out,2,"sticking tongue out(2), tight-rope_walking(1), play_clarinet(1)"
calfrope_catch,80,16.666666666666668,33.333333333333336,6,eat_burger,1,"eat_burger(1), segway(1), equestrian_run(1)"
closing_door,108,16.666666666666668,33.333333333333336,6,dog_walking,1,"dog_walking(1), using_metal_detector(1), hugging_human(1)"
conducting,109,16.666666666666668,33.333333333333336,6,play_yoyo,1,"play_yoyo(1), cross_country_ski_slide(1), play_harp(1)"
dice_stack_shuffle,123,16.666666666666668,33.333333333333336,6,ski_jump_midair,1,"ski_jump_midair(1), sprint_kneel(1), ride_motorcycle(1)"
dog_walking,131,16.666666666666668,33.333333333333336,6,using_metal_detector,2,"using_metal_detector(2), using_lawn_mower(1), using_string_trimmer(1)"
eating_oyster,140,16.666666666666668,33.333333333333336,6,brushing_teeth,1,"brushing_teeth(1), draw_handgun(1), play_trumpet(1)"
fire_breathing,158,16.666666666666668,33.333333333333336,6,frisbee_throw,1,"frisbee_throw(1), cleaning_mirror(1), battle-rope_jumping-jack(1)"
fire_dancing_circulating,159,16.666666666666668,33.333333333333336,6,whipping,1,"whipping(1), applauding(1), skydiving(1)"
flipping_bottle,165,16.666666666666668,33.333333333333336,6,play_serpent,2,"play_serpent(2), play_triangle(1), pancake_flip(1)"
gym_pull,192,16.666666666666668,33.333333333333336,6,climbing_rope,1,"climbing_rope(1), situp(1), soccer_throw(1)"
hailing_taxi,197,16.666666666666668,33.333333333333336,6,badminton_overswing,1,"badminton_overswing(1), play_yoyo(1), dart_throw(1)"
hand-drill_firemaking_blow,201,16.666666666666668,33.333333333333336,6,play_harmonica,1,"play_harmonica(1), whistle_two_hands(1), gym_plank(1)"
headbang,209,16.666666666666668,33.333333333333336,6,sticking tongue out,1,"sticking tongue out(1), hammering_nail(1), burping(1)"
hopscotch_pickup,218,16.666666666666668,33.333333333333336,6,bowing_waist,2,"bowing_waist(2), blowing_leaf(1), unicycle_ride(1)"
jack_up_car,230,16.666666666666668,33.333333333333336,6,leg_hold_front,1,"leg_hold_front(1), hand-drill_firemaking_drill_with_bow(1), gym_ride(1)"
jetski,233,16.666666666666668,33.333333333333336,6,playing_bass_drum,1,"playing_bass_drum(1), ski_frontflip(1), bowing_fullbody(1)"
milking,248,16.666666666666668,33.333333333333336,6,decorating_snowman,1,"decorating_snowman(1), dog_highfive(1), rock_balancing(1)"
pancake_flip,253,16.666666666666668,33.333333333333336,6,basketball_pass,1,"basketball_pass(1), throw_paper-plane(1), bowing_waist(1)"
peeling_banana,255,16.666666666666668,33.333333333333336,6,sticking tongue out,2,"sticking tongue out(2), balloon_animal(1), play_violin(1)"
piggyback_ride,257,16.666666666666668,33.333333333333336,6,squash_backhand,1,"squash_backhand(1), tap_dancing(1), milking(1)"
play_handpan,277,16.666666666666668,33.333333333333336,6,play_yangqin,1,"play_yangqin(1), play_saw(1), yoga_lotus(1)"
play_hulahoop,280,16.666666666666668,33.333333333333336,6,baseball_pitch,1,"baseball_pitch(1), play_bangu(1), wear_helmet(1)"
play_jazzdrum,282,16.666666666666668,33.333333333333336,6,fist_bump,1,"fist_bump(1), using_spinning_wheel(1), rock_balancing(1)"
play_recorder,291,16.666666666666668,33.333333333333336,6,play_harp,1,"play_harp(1), play_ocarina(1), play_clarinet(1)"
play_timpani,301,16.666666666666668,33.333333333333336,6,fish-hunting_pull,1,"fish-hunting_pull(1), play_jazzdrum(1), ride_motorcycle(1)"
playing_bass_drum,311,16.666666666666668,33.333333333333336,6,closing_door,1,"closing_door(1), running_in_place(1), play_saxophone(1)"
plunging_toilet,320,16.666666666666668,33.333333333333336,6,shoe_shining,1,"shoe_shining(1), brushing_floor(1), screw_car_tire(1)"
ride_motorcycle,341,16.666666666666668,33.333333333333336,6,luge,1,"luge(1), play_serpent(1), ride_horse(1)"
running_in_place,351,16.666666666666668,33.333333333333336,6,fist_bump,1,"fist_bump(1), climb_stair(1), play_serpent(1)"
sandboarding_forward,356,16.666666666666668,33.333333333333336,6,skydiving,1,"skydiving(1), flipping_bottle(1), handshake_dog(1)"
scuba_diving,358,16.666666666666668,33.333333333333336,6,remove_car_tire,1,"remove_car_tire(1), swimming_breast_stroke(1), skydiving(1)"
segway,359,16.666666666666668,33.333333333333336,6,walking_with_walker,2,"walking_with_walker(2), brushing_floor(1), using_string_trimmer(1)"
shooting_shotgun,366,16.666666666666668,33.333333333333336,6,shooting_handgun,3,"shooting_handgun(3), volleyball_set(1), hugging_animal(1)"
ski_cork,376,16.666666666666668,33.333333333333336,6,falling_off_chair,1,"falling_off_chair(1), unevenbar_spin(1), shotput_throw(1)"
skydiving,381,16.666666666666668,33.333333333333336,6,gym_squat,1,"gym_squat(1), soccer_save(1), snorkeling(1)"
slingshot,384,16.666666666666668,33.333333333333336,6,play_gong,1,"play_gong(1), using_typewriter(1), cross_body_shoulder_stretch(1)"
snorkeling,387,16.666666666666668,33.333333333333336,6,yoga_locust,1,"yoga_locust(1), swimming_butterfly_stroke(1), swimming_breast_stroke(1)"
snow_angel,388,16.666666666666668,33.333333333333336,6,skydiving,2,"skydiving(2), swimming_breast_stroke(1), swimming_backstroke(1)"
spraying_wall,404,16.666666666666668,33.333333333333336,6,play_gong,2,"play_gong(2), chalkboard(1), throwing_bouquet(1)"
sprint_run,406,16.666666666666668,33.333333333333336,6,skydiving,1,"skydiving(1), sprint_kneel(1), bowls_throw(1)"
talking_megaphone,429,16.666666666666668,33.333333333333336,6,taekwondo_middle_block,1,"taekwondo_middle_block(1), skydiving(1), using_typewriter(1)"
throw_boomerang,436,16.666666666666668,33.333333333333336,6,football_throw,3,"football_throw(3), atlatl_throw(1), throw_paper-plane(1)"
unevenbar_cross,449,16.666666666666668,33.333333333333336,6,horizontalbar_jump,1,"horizontalbar_jump(1), unevenbar_jump(1), spraying_wall(1)"
unevenbar_jump,451,16.666666666666668,33.333333333333336,6,opening_door,1,"opening_door(1), tug_of_war(1), water_skiing(1)"
watering_plants,475,16.666666666666668,33.333333333333336,6,playing_bass_drum,1,"playing_bass_drum(1), slingshot(1), play_serpent(1)"
whipping,481,16.666666666666668,33.333333333333336,6,golf_part,1,"golf_part(1), squash_backhand(1), baseball_catch_catcher(1)"
add_new_car_tire,3,16.666666666666668,50.0,6,fish-hunting_pull,1,"fish-hunting_pull(1), play_xylophone(1), jack_up_car(1)"
arm_wave,12,16.666666666666668,50.0,6,workout_chest-pull,1,"workout_chest-pull(1), belly_dancing(1), read_newspaper(1)"
badminton_serve,19,16.666666666666668,50.0,6,tennis_forehand,1,"tennis_forehand(1), card_throw(1), play_triangle(1)"
blow_gun,56,16.666666666666668,50.0,6,reading_book,1,"reading_book(1), shooting_handgun(1), shooting_shotgun(1)"
canoeing_slalom,83,16.666666666666668,50.0,6,petanque_throw,1,"petanque_throw(1), canoeing_sprint(1), swimming_breast_stroke(1)"
carrying_with_head,86,16.666666666666668,50.0,6,using_metal_detector,2,"using_metal_detector(2), leg_hold_back(1), beer_pong_throw(1)"
chainsaw_tree,90,16.666666666666668,50.0,6,gym_ride,2,"gym_ride(2), screw_car_tire(2), windsurfing(1)"
curling_sweep,117,16.666666666666668,50.0,6,curling_follow,2,"curling_follow(2), hopscotch_pickup(1), cleaning_vacumming(1)"
dog_highfive,130,16.666666666666668,50.0,6,hand-drill_firemaking_drill_with_hand,2,"hand-drill_firemaking_drill_with_hand(2), cleaning_mopping(1), basketball_dunk(1)"
horizontalbar_flip,221,16.666666666666668,50.0,6,unevenbar_flip,2,"unevenbar_flip(2), ski_frontflip(1), skydiving(1)"
ironing_clothes,229,16.666666666666668,50.0,6,equestrian_dressage,1,"equestrian_dressage(1), chainsaw_log(1), hammering_nail(1)"
kiss,240,16.666666666666668,50.0,6,salute,1,"salute(1), skydiving(1), play_serpent(1)"
play_cymbals,270,16.666666666666668,50.0,6,play_triangle,3,"play_triangle(3), pancake_flip(1), reading_book(1)"
play_diabolo,271,16.666666666666668,50.0,6,badminton_serve,2,"badminton_serve(2), hugging_human(1), play_bagpipes(1)"
play_ocarina,289,16.666666666666668,50.0,6,whistle_two_hands,2,"whistle_two_hands(2), play_triangle(2), blowing_nose(1)"
play_thereminvox,300,16.666666666666668,50.0,6,fire_extinguisher,1,"fire_extinguisher(1), spinning_plate(1), play_banjo(1)"
play_yoyo,310,16.666666666666668,50.0,6,baseball_catch_catcher,1,"baseball_catch_catcher(1), draw_handgun(1), using_lawn_mower(1)"
playing_seesaw,316,16.666666666666668,50.0,6,play_jazzdrum,1,"play_jazzdrum(1), play_serpent(1), play_sheng(1)"
read_newspaper,335,16.666666666666668,50.0,6,play_saxophone,1,"play_saxophone(1), ironing_clothes(1), play_clarinet(1)"
ride_horse,340,16.666666666666668,50.0,6,equestrian_jump,1,"equestrian_jump(1), sandboarding_forward(1), equestrian_run(1)"
ride_scooter,342,16.666666666666668,50.0,6,using_lawn_mower,2,"using_lawn_mower(2), tire_pull(1), using_metal_detector(1)"
